Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
39,"C Kun‐Rodrigues, J Salmona, A Besolo, ...","New density estimates of a threatened sifaka species (Propithecus coquereli) in Ankarafantsika National Park",2014,"American Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ajp.22243","https://scholar.google.com/scholar?cites=885744689098478713&as_sdt=2005&sciodt=0,5&hl=en",1,"2022-06-03 12:54:03","","10.1002/ajp.22243","","",,,,,39,4.88,10,4,8,"… Propithecus coquereli is one of the last sifaka species for which no reliable and extensive density estimates are yet available. Despite its endangered conservation status [IUCN, 2012] …","https://arca.igc.gulbenkian.pt/bitstream/10400.7/558/1/Kun-Rodrigues-AJP-13-0044.R3-Manuscript.pdf","https://scholar.google.com/scholar?q=related:eVRnExrMSgwJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
19,"J Salmona, F Jan, E Rasolondraibe, A Besolo, ...","Extensive survey of the Endangered Coquerel's sifaka Propithecus coquereli",2014,"Endangered Species …","int-res.com","https://www.int-res.com/abstracts/esr/v25/n2/p175-183/","https://scholar.google.com/scholar?cites=16988155369996735975&as_sdt=2005&sciodt=0,5&hl=en",2,"2022-06-03 12:54:03","","","","",,,,,19,2.38,4,5,8,"… Surveyed sites and Propithecus coquereli presence/absence bibliographic report locations in NW Madagascar. Purple italic … The only site with no observation of Propithecus coquereli …","https://www.int-res.com/articles/esr2014/25/n025p175.pdf","https://scholar.google.com/scholar?q=related:59XMSU0NwusJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
24,"KC McGoogan","Edge effects on the behaviour and ecology of Propithecus coquereli in Northwest Madagascar",2011,"","bac-lac.gc.ca","https://www.bac-lac.gc.ca/eng/services/theses/Pages/item.aspx?idNumber=1019490882","https://scholar.google.com/scholar?cites=9595632743194538950&as_sdt=2005&sciodt=0,5&hl=en",3,"2022-06-03 12:54:03","","","","",,,,,24,2.18,24,1,11,"… I compared two groups of Propithecus coquereli living less than 1-km from a forest edge … Propithecus coquereli were edge avoiders, with 94.54% of sightings of Propithecus coquereli …","https://central.bac-lac.gc.ca/.item?id=NR78304&op=pdf&app=Library&oclc_number=1019490882","https://scholar.google.com/scholar?q=related:xrM33SOJKoUJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
24,"LE Charles-Smith, P Cowen, R Schopler","Environmental and physiological factors contributing to outbreaks of Cryptosporidium in Coquerel's Sifaka (Propithecus coquereli) at the Duke Lemur Center: 1999 …",2010,"Journal of Zoo and Wildlife …","BioOne","https://bioone.org/journals/journal-of-zoo-and-wildlife-medicine/volume-41/issue-3/2009-0160.1/Environmental-and-Physiological-Factors-Contributing-to-Outbreaks-of-Cryptosporidium-in/10.1638/2009-0160.1.short","https://scholar.google.com/scholar?cites=3855188837369708022&as_sdt=2005&sciodt=0,5&hl=en",4,"2022-06-03 12:54:03","","10.1638/2009-0160.1.short","","",,,,,24,2.00,8,3,12,"This population-based, retrospective study examined the susceptibility of a prosimian primate, Coquerel's sifaka (Propithecus coquereli), to Cryptosporidium spp. over a 9-yr period from …","","https://scholar.google.com/scholar?q=related:9v14adJhgDUJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
28,"MC Granatosky, CH Tripp, AC Fabre, ...","Patterns of quadrupedal locomotion in a vertical clinging and leaping primate (Propithecus coquereli) with implications for understanding the functional demands of …",2016,"American Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ajpa.22991","https://scholar.google.com/scholar?cites=8374979626762709836&as_sdt=2005&sciodt=0,5&hl=en",5,"2022-06-03 12:54:03","","10.1002/ajpa.22991","","",,,,,28,4.67,7,4,6,"… habitually quadrupedal primates (Lemur catta and Varecia variegata) to those of a dedicated vertical clinger and leaper (Propithecus coquereli) during bouts of quadrupedal walking. …","","https://scholar.google.com/scholar?q=related:TCtTFpnnOXQJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
3,"MS Ramsay, B Morrison, SM Stead","Infanticide and partial cannibalism in free-ranging Coquerel's sifaka (Propithecus coquereli)",2020,"Primates","Springer","https://link.springer.com/article/10.1007/s10329-020-00828-z","https://scholar.google.com/scholar?cites=16022367310107064779&as_sdt=2005&sciodt=0,5&hl=en",6,"2022-06-03 12:54:03","","10.1007/s10329-020-00828-z","","",,,,,3,1.50,1,3,2,"… by a male lemur in a wild population of Coquerel’s sifaka (Propithecus coquereli). … coquereli. While infanticide is very difficult to directly observe outside of chance encounters, more long-…","https://www.researchgate.net/profile/Malcolm-Ramsay-2/publication/341467565_Infanticide_and_partial_cannibalism_in_free-ranging_Coquerel's_sifaka_Propithecus_coquereli/links/5ec534a7299bf1c09acc4966/Infanticide-and-partial-cannibalism-in-free-ranging-Coquerels-sifaka-Propithecus-coquereli.pdf","https://scholar.google.com/scholar?q=related:yznDqy3iWt4J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
11,"A Hartstone-Rose, JMG Perry","Intraspecific variation in maximum ingested food size and body mass in Varecia rubra and Propithecus coquereli",2011,"Anatomy research …","downloads.hindawi.com","https://downloads.hindawi.com/archive/2011/831943.pdf","https://scholar.google.com/scholar?cites=2250529746841170720&as_sdt=2005&sciodt=0,5&hl=en",7,"2022-06-03 12:54:03","PDF","","","",,,,,11,1.00,6,2,11,"… The Vb values between the two populations examined in this study (eight individuals each of Propithecus coquereli and Varecia rubra—the former highly folivorous and the latter highly …","https://downloads.hindawi.com/archive/2011/831943.pdf","https://scholar.google.com/scholar?q=related:IPPqhOF8Ox8J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
14,"CJ Gardner, P Radolalaina, M Rajerison, HW Greene","Cooperative rescue and predator fatality involving a group-living strepsirrhine, Coquerel's sifaka (Propithecus coquereli), and a Madagascar ground boa (Acrantophis …",2015,"Primates","Springer","https://link.springer.com/article/10.1007/s10329-015-0462-6","https://scholar.google.com/scholar?cites=14346658324775397926&as_sdt=2005&sciodt=0,5&hl=en",8,"2022-06-03 12:54:03","","10.1007/s10329-015-0462-6","","",,,,,14,2.00,4,4,7,"… Here we report a predation attempt on an adult Coquerel’s sifaka (Propithecus coquereli) by a Madagascar ground boa (Acrantophis madagascariensis), during which the prey’s group-…","","https://scholar.google.com/scholar?q=related:JmojCryRGccJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
2,"AC Ross","Lactating Coquerel's sifaka (Propithecus coquereli) exhibit reduced stress responses in comparison to males and nonlactating females",2020,"American Journal of Primatology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ajp.23103","https://scholar.google.com/scholar?cites=2407979251403810281&as_sdt=2005&sciodt=0,5&hl=en",9,"2022-06-03 12:54:03","","10.1002/ajp.23103","","",,,,,2,1.00,2,1,2,"… Propithecus coquereli groups were initially located when infants had not been born. These same groups were checked weekly until an infant was present (n = 9). For example, Group …","https://www.researchgate.net/profile/Abigail-Ross/publication/338901019_Lactating_Coquerel's_sifaka_Propithecus_coquereli_exhibit_reduced_stress_responses_in_comparison_to_males_and_nonlactating_females/links/5e31c187299bf1cdb9fc85b5/Lactating-Coquerels-sifaka-Propithecus-coquereli-exhibit-reduced-stress-responses-in-comparison-to-males-and-nonlactating-females.pdf","https://scholar.google.com/scholar?q=related:6WVvAl_caiEJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
5,"GL Wallace, LB Paquette, KE Glander","A comparison of activity patterns for captive Propithecus tattersalli and Propithecus coquereli",2016,"Zoo biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/zoo.21258","https://scholar.google.com/scholar?cites=7943487781133131476&as_sdt=2005&sciodt=0,5&hl=en",10,"2022-06-03 12:54:03","","10.1002/zoo.21258","","",,,,,5,0.83,2,3,6,"… coquereli) faces are black with white hair on the muzzle, and the … coquereli is similar in appearance to P. verreauxi, which is … coquereli, for which we hypothesized the results would be …","https://dukespace.lib.duke.edu/dspace/bitstream/handle/10161/16144/16%20tattersali.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:1J4Y8AzwPG4J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
